,EPIK,EPIRA+Kemeny,EPIRA+Copeland,EPIRA+Copeland_noWiG,EPIRA+Schulze,EPIRA+Borda,EPIRA+Maximin
W01,13,0,1,4,1,2,0
W02,3,3,3,2,3,3,3
W03,15,15,15,15,13,14,9
W04,5,5,4,3,4,5,4
W05,0,2,2,1,2,0,2
W06,6,7,6,6,6,10,10
M01,2,1,5,5,0,4,1
M02,9,8,10,10,10,9,5
M03,8,9,9,9,8,8,6
M04,4,10,8,8,7,1,7
M05,10,4,7,7,5,7,11
M06,11,12,14,14,15,15,12
M07,12,13,12,12,12,12,13
M08,14,14,13,13,14,13,14
M09,1,11,11,11,11,11,15
M10,7,6,0,0,9,6,8
M11,16,18,17,17,17,17,16
M12,17,16,16,16,16,16,17
M13,18,19,19,19,19,19,18
M14,19,17,18,18,18,18,19
