,EPIK,EPIRA+Kemeny,EPIRA+Copeland,EPIRA+Copeland_noWiG,EPIRA+Schulze,EPIRA+Borda,EPIRA+Maximin
W01,2,2,2,1,1,1,1
W02,1,1,1,5,2,2,2
W03,4,4,4,3,4,4,4
W04,3,3,3,2,3,3,3
W05,6,7,6,6,7,6,7
W06,8,5,5,4,5,5,5
M01,0,0,0,0,0,0,0
M02,7,9,10,10,9,11,8
M03,9,10,9,9,10,9,9
M04,5,6,7,7,6,7,10
M05,10,8,8,8,8,8,6
M06,12,12,12,12,12,12,11
M07,11,11,11,11,11,10,12
M08,14,13,13,13,13,13,13
M09,17,15,14,14,14,14,14
M10,13,16,16,16,16,16,15
M11,15,14,15,15,15,15,16
M12,16,17,17,17,17,17,17
M13,18,18,18,18,18,18,18
M14,19,19,19,19,19,19,19
