,fairness_rankers@10,fairness_rankers@20,fairness_rankers@50,exposure_rankers,R_par_rankers
ranker 1,-26.19047619047619,-9.523809523809526,40.47619047619049,-0.247157703814712,0.9761904761904762
ranker 2,-26.19047619047619,-9.523809523809526,40.47619047619049,-0.24189888238308083,0.9523809523809523
ranker 3,-26.19047619047619,-9.523809523809526,40.47619047619049,-0.247157703814712,0.9761904761904762
ranker 4,-26.19047619047619,-9.523809523809526,40.47619047619049,-0.22877021425488683,0.8809523809523809
ranker 5,-26.19047619047619,-9.523809523809526,57.142857142857146,-0.2510370872942207,1.0
ranker 6,-26.19047619047619,-9.523809523809526,57.142857142857146,-0.2510370872942207,1.0
ranker 7,-26.19047619047619,-9.523809523809526,57.142857142857146,-0.2510370872942207,1.0
ranker 8,-26.19047619047619,-9.523809523809526,40.47619047619049,-0.247157703814712,0.9761904761904762
ranker 9,-26.19047619047619,-9.523809523809526,57.142857142857146,-0.2510370872942207,1.0
ranker 10,-26.19047619047619,-9.523809523809526,57.142857142857146,-0.2510370872942207,1.0
ranker 11,-26.19047619047619,-9.523809523809526,40.47619047619049,-0.247157703814712,0.9761904761904762
ranker 12,-26.19047619047619,-9.523809523809526,40.47619047619049,-0.23888708832660618,0.9285714285714286
