,EPIK,EPIRA+Kemeny,EPIRA+Copeland,EPIRA+Copeland_noWiG,EPIRA+Schulze,EPIRA+Borda,EPIRA+Maximin
W01,1,1,1,1,1,1,1
W02,5,5,5,5,5,3,3
W03,6,6,6,6,6,6,6
W04,7,7,8,8,7,8,7
W05,8,8,7,7,8,9,9
W06,9,9,9,9,9,7,4
M01,2,0,4,4,0,4,8
M02,0,2,0,0,2,0,0
M03,3,3,2,2,3,2,2
M04,4,4,3,3,4,5,5
M05,11,11,11,11,11,11,10
M06,10,10,10,10,10,10,11
M07,12,12,12,12,12,12,12
M08,13,13,13,13,13,14,13
M09,14,14,14,14,14,13,14
M10,15,15,15,15,15,15,15
M11,16,16,16,16,16,16,16
M12,17,17,17,17,17,17,17
M13,18,18,18,18,18,18,18
M14,19,19,19,19,19,19,19
